No.,Company,Location HQ,USState,Country,Continent,LaidOff,Date layoffs,Percentage,Company Size  Before Layoff,Company Size  After Layoff,Industry,Stage,Money Raised in millions,Year
1,Tamara Mellon,Los Angeles,California,USA,North America,20,12-03-2020,40,50,30,Retail,Series C,90,2020
14,Leafly,Seattle,Washington,USA,North America,91,23-03-2020,50,182,91,Retail,Acquired,2,2020
26,B8ta,San Francisco,California,USA,North America,250,26-03-2020,50,500,250,Retail,Series C,88,2020
29,GoSpotCheck,Denver,Colorado,USA,North America,23,26-03-2020,20,115,92,Retail,Series B,47,2020
73,1stdibs,New York City,New York,USA,North America,70,02-04-2020,17,412,342,Retail,Series D,253,2020
87,ThirdLove,San Francisco,California,USA,North America,65,02-04-2020,30,217,152,Retail,Series B,68,2020
94,Minted,San Francisco,California,USA,North America,147,03-04-2020,37,397,250,Retail,Series E,297,2020
96,Salsify,Boston,Massachusetts,USA,North America,60,03-04-2020,13,462,402,Retail,Series D,97,2020
108,Away,New York City,New York,USA,North America,60,07-04-2020,10,600,540,Retail,Series D,181,2020
112,Ibotta,Denver,Colorado,USA,North America,87,07-04-2020,15,580,493,Retail,Series D,85,2020
123,Meesho,Bengaluru,Unknown,India,Asia,200,08-04-2020,28,714,514,Retail,Series D,215,2020
135,Mejuri,Toronto,Unknown,Canada,North America,36,09-04-2020,15,240,204,Retail,Series B,28,2020
2,HopSkipDrive,Los Angeles,California,USA,North America,8,13-03-2020,10,80,72,Transportation,Unknown,45,2020
34,Bird,Los Angeles,California,USA,North America,406,27-03-2020,30,1353,947,Transportation,Series D,623,2020
37,Getaround,San Francisco,California,USA,North America,100,27-03-2020,25,400,300,Transportation,Series D,403,2020
43,Zipcar,Boston,Massachusetts,USA,North America,100,27-03-2020,20,500,400,Transportation,Acquired,107,2020
59,Turo,San Francisco,California,USA,North America,108,31-03-2020,30,360,252,Transportation,Series E,467,2020
102,BusBud,Montreal,Unknown,Canada,North America,23,06-04-2020,32,72,49,Transportation,Series B,21,2020
125,Scoop,San Francisco,California,USA,North America,92,08-04-2020,33,279,187,Transportation,Series C,95,2020
3,Panda Squad,San Francisco,California,USA,North America,6,13-03-2020,75,8,2,Consumer,Seed,1,2020
